date,open,high,low,close,price,volume
2023-12-26,193.61,193.89,192.83,193.05,192.8,28919300
2023-12-22,195.18,195.41,192.97,193.6,193.35,37122800
2023-12-21,196.1,197.08,193.5,194.68,194.43,46482500
2023-12-20,196.9,197.68,194.83,194.83,194.58,52242800
2023-12-19,196.16,196.95,195.89,196.94,196.69,40714100
2023-12-18,196.09,196.63,194.39,195.89,195.64,55751900
2023-12-15,197.53,198.4,197.0,197.57,197.32,128256700
2023-12-14,198.02,199.62,196.16,198.11,197.86,66831600
2023-12-13,195.09,198.0,194.85,197.96,197.71,70404200
2023-12-12,193.08,194.72,191.72,194.71,194.46,52696900
2023-12-11,193.11,193.49,191.42,193.18,192.93,60943700
2023-12-08,194.2,195.99,193.67,195.71,195.46,53377300
2023-12-07,193.63,195.0,193.59,194.27,194.02,47477700
2023-12-06,194.45,194.76,192.11,192.32,192.07,41089700
2023-12-05,190.21,194.4,190.18,193.42,193.17,66628400
2023-12-04,189.98,190.05,187.45,189.43,189.19,43389500
2023-12-01,190.33,191.56,189.23,191.24,191.0,45679300
2023-11-30,189.84,190.32,188.19,189.95,189.71,48794400
2023-11-29,190.9,192.09,188.97,189.37,189.13,43014200
2023-11-28,189.78,191.08,189.4,190.4,190.16,38415400
2023-11-27,189.92,190.67,188.9,189.79,189.55,40552600
2023-11-24,190.87,190.9,189.25,189.97,189.73,24048300
2023-11-22,191.49,192.93,190.83,191.31,191.07,39617700
2023-11-21,191.41,191.52,189.74,190.64,190.4,38134500
2023-11-20,189.89,191.91,189.88,191.45,191.21,46505100
2023-11-17,190.25,190.38,188.57,189.69,189.45,50922700
2023-11-16,189.57,190.96,188.65,189.71,189.47,54412900
2023-11-15,187.85,189.5,187.78,188.01,187.77,53790500
2023-11-14,187.7,188.11,186.3,187.44,187.2,60108400
2023-11-13,185.82,186.03,184.21,184.8,184.56,43627500
2023-11-10,183.97,186.57,183.53,186.4,186.16,66133400
2023-11-09,182.96,184.12,181.81,182.41,181.94,53763500
2023-11-08,182.35,183.45,181.59,182.89,182.42,49340300
2023-11-07,179.18,182.44,178.97,181.82,181.35,70530000
2023-11-06,176.38,179.43,176.21,179.23,178.77,63841300
2023-11-03,174.24,176.82,173.35,176.65,176.19,79763700
2023-11-02,175.52,177.78,175.46,177.57,177.11,77334800
2023-11-01,171.0,174.23,170.12,173.97,173.52,56934900
2023-10-31,169.35,170.9,167.9,170.77,170.33,44846000
2023-10-30,169.02,171.17,168.87,170.29,169.85,51131000
2023-10-27,166.91,168.96,166.83,168.22,167.78,58499100
2023-10-26,170.37,171.38,165.67,166.89,166.46,70625300
2023-10-25,171.88,173.06,170.65,171.1,170.66,57157000
2023-10-24,173.05,173.67,171.45,173.44,172.99,43816600
2023-10-23,170.91,174.01,169.93,173.0,172.55,55980100
2023-10-20,175.31,175.42,172.64,172.88,172.43,64189300
2023-10-19,176.04,177.84,175.19,175.46,175.01,59302900
2023-10-18,175.58,177.58,175.11,175.84,175.38,54764400
2023-10-17,176.65,178.42,174.8,177.15,176.69,57549400
2023-10-16,176.75,179.08,176.51,178.72,178.26,52517000
2023-10-13,181.42,181.93,178.14,178.85,178.39,51427100
2023-10-12,180.07,182.34,179.04,180.71,180.24,56743100
2023-10-11,178.2,179.85,177.6,179.8,179.33,47551100
2023-10-10,178.1,179.72,177.95,178.39,177.93,43698000
2023-10-09,176.81,179.05,175.8,178.99,178.53,42390800
